lighthouse53.jpg_Vp01_x;lighthouse53.jpg_Vp01_y;lighthouse53.jpg_Vp02_x;lighthouse53.jpg_Vp02_y;lighthouse53.jpg_Vp03_x;lighthouse53.jpg_Vp03_y;lighthouse53.jpg_Vp04_x;lighthouse53.jpg_Vp04_y;lighthouse53.jpg_Vp05_x;lighthouse53.jpg_Vp05_y;lighthouse53.jpg_Vp06_x;lighthouse53.jpg_Vp06_y;lighthouse53.jpg_Vp07_x;lighthouse53.jpg_Vp07_y;lighthouse53.jpg_Vp08_x;lighthouse53.jpg_Vp08_y;lighthouse53.jpg_Vp09_x;lighthouse53.jpg_Vp09_y;lighthouse53.jpg_Vp10_x;lighthouse53.jpg_Vp10_y;lighthouse53.jpg_Vp11_x;lighthouse53.jpg_Vp11_y;lighthouse53.jpg_Vp12_x;lighthouse53.jpg_Vp12_y;lighthouse53.jpg_Vp13_x;lighthouse53.jpg_Vp13_y;lighthouse53.jpg_Vp14_x;lighthouse53.jpg_Vp14_y;lighthouse53.jpg_Vp15_x;lighthouse53.jpg_Vp15_y;lighthouse53.jpg_Vp16_x;lighthouse53.jpg_Vp16_y;lighthouse53.jpg_Vp17_x;lighthouse53.jpg_Vp17_y;lighthouse53.jpg_Vp18_x;lighthouse53.jpg_Vp18_y;lighthouse53.jpg_Vp19_x;lighthouse53.jpg_Vp19_y;lighthouse53.jpg_Vp20_x;lighthouse53.jpg_Vp20_y;lighthouse53.jpg_Vp22_x;lighthouse53.jpg_Vp22_y;lighthouse53.jpg_Vp23_x;lighthouse53.jpg_Vp23_y;lighthouse53.jpg_Vp24_x;lighthouse53.jpg_Vp24_y;lighthouse53.jpg_Vp25_x;lighthouse53.jpg_Vp25_y;lighthouse53.jpg_Vp26_x;lighthouse53.jpg_Vp26_y
761;152;726;354;775;358;720;353;737;155;751;148;738;150;702;144;706;126;682;126;736;353;;;483;125;708;155;715;143;699;142;752;149;670;359;756;115;711;144;729;338;767;145;714;153;715;144;753;155
828;352;727;154;731;353;736;156;770;154;720;164;710;363;795;139;816;124;863;137;732;180;;;505;499;800;164;406;422;803;157;774;171;746;107;659;364;696;373;738;171;825;354;779;156;707;354;769;211
697;484;771;151;734;154;764;155;796;353;730;353;809;363;856;453;818;326;899;382;749;152;;;863;504;824;359;796;400;817;323;781;351;832;353;873;360;844;384;752;159;698;359;783;355;799;366;769;350
458;469;775;319;768;153;778;349;724;353;775;358;779;145;705;440;673;337;672;387;767;164;;;838;113;677;364;866;238;680;338;723;355;;;;;841;151;769;168;701;340;701;357;796;170;729;353
729;151;752;335;;;;;682;365;768;186;;;;;;;;;768;324;;;;;;;;;;;725;191;;;;;;;774;322;724;340;;;;;727;201
;;751;360;;;;;656;371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;749;354;731;150;;;;;;
;;729;358;;;;;627;358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;723;324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
